DEBUG 2012-06-28 11:00:27,481 53166ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-28 11:00:27,481 53166ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-28 11:00:27,591 53275ms MainViewModel          SetLesson          - || == Current Item : 3/160
DEBUG 2012-06-28 11:00:27,716 53400ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-28 11:00:27,716 53400ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-28 11:00:34,717 60402ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-28 11:00:34,717 60402ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-28 11:00:34,717 60402ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :7
DEBUG 2012-06-28 11:00:34,717 60402ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-28 11:00:34,717 60402ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-28 11:00:39,718 65403ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-28 11:00:39,718 65403ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-28 11:00:39,718 65403ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-28 11:00:39,718 65403ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-28 11:00:39,749 65434ms MainViewModel          SetLesson          - || == Current Item : 4/160
DEBUG 2012-06-28 11:00:39,859 65543ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-28 11:00:39,859 65543ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-28 11:00:46,860 72545ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-28 11:00:46,860 72545ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-28 11:00:46,860 72545ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :6
DEBUG 2012-06-28 11:00:46,860 72545ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-28 11:00:46,860 72545ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-28 11:00:51,861 77546ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-28 11:00:51,861 77546ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-28 11:00:51,861 77546ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-28 11:00:51,861 77546ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-28 11:00:51,908 77593ms MainViewModel          SetLesson          - || == Current Item : 5/160
DEBUG 2012-06-28 11:00:52,017 77702ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-28 11:00:52,017 77702ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-28 11:00:59,019 84703ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-28 11:00:59,019 84703ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-28 11:00:59,019 84703ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :7
DEBUG 2012-06-28 11:00:59,019 84703ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-28 11:00:59,019 84703ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-28 11:01:04,020 89704ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-28 11:01:04,020 89704ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-28 11:01:04,020 89704ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-28 11:01:04,020 89704ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-28 11:01:04,098 89782ms MainViewModel          SetLesson          - || == Current Item : 6/160
DEBUG 2012-06-28 11:01:04,207 89892ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-28 11:01:04,207 89892ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-28 11:01:11,209 96893ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-28 11:01:11,209 96893ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-28 11:01:11,209 96893ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :7
DEBUG 2012-06-28 11:01:11,209 96893ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-28 11:01:11,209 96893ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-28 11:01:16,210 101894ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-28 11:01:16,210 101894ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-28 11:01:16,210 101894ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-28 11:01:16,210 101894ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-28 11:01:16,288 101972ms MainViewModel          SetLesson          - || == Current Item : 7/160
DEBUG 2012-06-28 11:01:16,397 102082ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-28 11:01:16,397 102082ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-28 11:01:23,398 109083ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-28 11:01:23,398 109083ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-28 11:01:23,398 109083ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :6
DEBUG 2012-06-28 11:01:23,398 109083ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-28 11:01:23,398 109083ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

INFO  2012-06-28 11:07:23,767 66474ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-06-28 11:08:29,803 132509ms StudyConfigViewModel   OnOKExecute        - || {*} === OK Command Executed ===
INFO  2012-06-28 11:08:31,943 134650ms MainViewModel          Initialize         - || {*} === Initialize MainViewModel ===
DEBUG 2012-06-28 11:08:43,944 146650ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-28 11:08:43,944 146650ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-28 11:08:43,944 146650ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-28 11:08:43,944 146650ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-28 11:08:43,944 146650ms MainViewModel          SetLesson          - || == Current Item : 1/160
DEBUG 2012-06-28 11:08:44,225 146932ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-28 11:08:44,225 146932ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-28 11:08:51,225 153932ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-28 11:08:51,225 153932ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-28 11:08:51,225 153932ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :7
DEBUG 2012-06-28 11:08:51,225 153932ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-28 11:08:51,225 153932ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-28 11:08:56,226 158932ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-28 11:08:56,226 158932ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-28 11:08:56,226 158932ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-28 11:08:56,226 158932ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-28 11:08:56,257 158963ms MainViewModel          SetLesson          - || == Current Item : 2/160
DEBUG 2012-06-28 11:08:56,366 159073ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-28 11:08:56,366 159073ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-28 11:09:03,366 166073ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-28 11:09:03,366 166073ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-28 11:09:03,366 166073ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :6
DEBUG 2012-06-28 11:09:03,366 166073ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-28 11:09:03,366 166073ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-28 11:09:08,367 171073ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-28 11:09:08,367 171073ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-28 11:09:08,367 171073ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-28 11:09:08,367 171073ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-28 11:09:08,445 171151ms MainViewModel          SetLesson          - || == Current Item : 3/160
DEBUG 2012-06-28 11:09:08,570 171276ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-28 11:09:08,570 171276ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-28 11:09:15,570 178277ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-28 11:09:15,570 178277ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-28 11:09:15,570 178277ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :7
DEBUG 2012-06-28 11:09:15,570 178277ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-28 11:09:15,570 178277ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-28 11:09:20,570 183277ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-28 11:09:20,570 183277ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-28 11:09:20,570 183277ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-28 11:09:20,570 183277ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-28 11:09:20,617 183324ms MainViewModel          SetLesson          - || == Current Item : 4/160
DEBUG 2012-06-28 11:09:20,727 183433ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-28 11:09:20,727 183433ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
